人物ID,著者名,作品ID,作品名,仮名遣い種別,翻訳者名等,入力者名,校正者名,状態,状態の開始日,底本名,出版社名,入力に使用した版,校正に使用した版
304,牧 逸馬,46492,消えた花婿,新字新仮名,,A子,mt.battie,公開,2023-06-29,世界怪奇実話Ⅰ,桃源社,1969（昭和44）年10月1日,1972（昭和47）年6月10日
1670,野村 胡堂,56390,銭形平次捕物控 142 権八の罪,新字新仮名,,特定非営利活動法人はるかぜ,結城宏,公開,2019-12-15,銭形平次捕物控（十五）茶碗割り,嶋中文庫、嶋中書店,2005（平成17）年9月20日第1刷,2005（平成17）年9月20日第1刷
1475,小川 未明,52098,二少年の話,新字新仮名,,特定非営利活動法人はるかぜ,仙酔ゑびす,公開,2012-01-29,定本小川未明童話全集　10,講談社,1983（昭和58）年1月19日第6刷,1977（昭和52）年8月10日第1刷
19,アンデルセン ハンス・クリスチャン,59325,眠りの精,新字新仮名,矢崎 源九郎,チエコ,木下聡,公開,2019-08-04,人魚の姫　アンデルセン童話集Ⅰ,新潮文庫、新潮社,2011（平成23）年9月5日48刷,2011（平成23）年9月5日48刷
82,岡本 綺堂,1014,半七捕物帳 19 お照の父,新字新仮名,,tatsuki,山本奈津恵,公開,1999-08-17,時代推理小説　半七捕物帳（二）,光文社時代小説文庫、光文社,,1997（平成9）年3月20日第11刷
81,宮沢 賢治,45658,サガレンと八月,新字新仮名,,ゆうき,noriko saito,公開,2009-09-03,ポラーノの広場,角川文庫、角川書店,1996（平成8）年6月25日初版,1996（平成8）年7月10日再版
1239,ラング アンドルー,46348,シンデレラ ―ガラスのくつのものがたり―,新字新仮名,大久保 ゆう,大久保ゆう,,公開,2006-05-18,,,,
1579,室生 犀星,55876,京洛日記,旧字旧仮名,,岡村和彦,きりんの手紙,公開,2020-03-26,現代紀行文學全集　第四卷　西日本篇,修道社,1958（昭和33）年4月15日,1959（昭和34）年4月10日
1652,森川 義信,54384,風,新字旧仮名,,坂本真一,フクポー,公開,2018-09-10,増補　森川義信詩集,国文社,1991（平成3）年1月10日初版,1991（平成3）年1月10日初版
1311,三好 十郎,49764,抵抗のよりどころ,新字新仮名,,伊藤時也,伊藤時也、及川　雅,公開,2009-03-04,三好十郎の仕事　第三巻,學藝書林,1968（昭和43）年9月30日第1刷,　
